src,dst,type,gate_abs_grad,patch_acc_drop,super_max_particle_score,conf,rank,super_score,score,pt,deltaR
run:all_head_supertrace:v1:latest,head:L1_ch112:128,run_has_head,0.8005718103609979,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L0_ch40:48,run_has_head,0.6734583724290131,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L2_ch224:256,run_has_head,0.6716344718355686,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L1_ch16:32,run_has_head,0.6645292914472519,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L0_ch48:56,run_has_head,0.3620088746538386,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L2_ch128:160,run_has_head,0.35113537810975676,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L0_ch8:16,run_has_head,0.3350130717270077,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L2_ch64:96,run_has_head,0.2969715459272265,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L2_ch0:32,run_has_head,0.26421213281573724,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L0_ch0:8,run_has_head,0.23265956228133292,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L0_ch24:32,run_has_head,0.19300828850828114,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L1_ch32:48,run_has_head,0.18464690914843226,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L1_ch64:80,run_has_head,0.1722523553995416,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L1_ch80:96,run_has_head,0.16934443782083686,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L1_ch48:64,run_has_head,0.12998252359684553,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L0_ch32:40,run_has_head,0.11387336922925896,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L2_ch32:64,run_has_head,0.10588864014716826,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L2_ch96:128,run_has_head,0.06340889002894981,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L0_ch16:24,run_has_head,0.0610171883367002,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L2_ch192:224,run_has_head,0.04265837218845264,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L1_ch0:16,run_has_head,0.03685495215468107,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L2_ch160:192,run_has_head,0.033821698091924195,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L1_ch96:112,run_has_head,0.00589493813458829,0.0,,,,,,,
run:all_head_supertrace:v1:latest,head:L0_ch56:64,run_has_head,0.004626238928176459,0.0,,,,,,,
run:all_head_supertrace:v1:latest,event:978,run_has_event,,,4.762551307678223,,,,,,
event:978,class:label_Hqql,event_predicted_as,,,,0.9999245405197144,,,,,
run:all_head_supertrace:v1:latest,event:888,run_has_event,,,4.6689863204956055,,,,,,
event:888,class:label_Hqql,event_predicted_as,,,,0.9937615990638733,,,,,
run:all_head_supertrace:v1:latest,event:885,run_has_event,,,4.626442909240723,,,,,,
event:885,class:label_Hqql,event_predicted_as,,,,0.9972719550132751,,,,,
run:all_head_supertrace:v1:latest,event:1281,run_has_event,,,4.583898067474365,,,,,,
event:1281,class:label_Tbl,event_predicted_as,,,,0.9999911785125732,,,,,
run:all_head_supertrace:v1:latest,event:1455,run_has_event,,,4.552828788757324,,,,,,
event:1455,class:label_Tbl,event_predicted_as,,,,0.9999303817749023,,,,,
run:all_head_supertrace:v1:latest,event:863,run_has_event,,,4.543761730194092,,,,,,
event:863,class:label_Hqql,event_predicted_as,,,,0.9997943043708801,,,,,
run:all_head_supertrace:v1:latest,event:953,run_has_event,,,4.535849571228027,,,,,,
event:953,class:label_Hqql,event_predicted_as,,,,0.9530162215232849,,,,,
run:all_head_supertrace:v1:latest,event:909,run_has_event,,,4.518932342529297,,,,,,
event:909,class:label_Hqql,event_predicted_as,,,,0.9999573230743408,,,,,
run:all_head_supertrace:v1:latest,event:797,run_has_event,,,4.506239414215088,,,,,,
