event_idx,rank,particle_idx,super_score,true_label,pred_label,conf,part_pt_log,part_e_log,part_logptrel,part_logerel,part_deltaR,part_charge,part_isChargedHadron,part_isNeutralHadron,part_isPhoton,part_isElectron,part_isMuon,part_deta,part_dphi,px,py,pz,energy,pt,deta,dphi,deltaR_from_axis
774,1,0,4.4253435134887695,label_Hqql,label_Hqql,0.9999284744262695,3.0789496898651123,3.3241944313049316,2.971177816390991,2.950453042984009,-0.6605402231216431,1.0,0.0,0.0,0.0,0.0,1.0,-0.03284657001495361,0.011690497398376465,326.7956848144531,-302.3213806152344,-727.69921875,853.07666015625,445.1894392171144,-0.03284657001495361,0.011690497398376465,0.03486495218939353
774,2,15,2.551597833633423,label_Hqql,label_Hqql,0.9999284744262695,-0.1144544705748558,0.18083608150482178,-0.22222638130187988,-0.19290561974048615,-0.5761929154396057,1.0,1.0,0.0,0.0,0.0,0.0,0.04980015754699707,0.025505781173706055,3.455385208129883,-3.109126091003418,-8.36091423034668,9.567169189453125,4.648263330139654,0.04980015754699707,0.025505781173706055,0.055951769989757316
774,3,13,2.3875937461853027,label_Hqql,label_Hqql,0.9999284744262695,-0.07938457280397415,0.14427800476551056,-0.18715648353099823,-0.22946353256702423,-0.5129579305648804,-1.0,1.0,0.0,0.0,0.0,0.0,-0.06934583187103271,-0.018458843231201172,3.4857306480407715,-3.42536997795105,-7.651769638061523,9.080337524414062,4.887072501665911,-0.06934583187103271,-0.018458843231201172,0.07176052739019968
774,4,25,2.3033339977264404,label_Hqql,label_Hqql,0.9999284744262695,-1.2453241348266602,-1.129764437675476,-1.3530960083007812,-1.503506064414978,1.0935261249542236,0.0,0.0,0.0,1.0,0.0,0.0,-0.2593604326248169,-0.3960078954696655,0.37388864159584045,-0.8449841141700745,-1.1447789669036865,1.4711593389511108,0.924008046238867,-0.2593604326248169,-0.3960078954696655,0.473381545146878
774,5,5,2.2981326580047607,label_Hqql,label_Hqql,0.9999284744262695,0.9376526474952698,1.1916069984436035,0.8298806548118591,0.8178653120994568,-0.5451133251190186,-1.0,1.0,0.0,0.0,0.0,0.0,-0.018380403518676758,0.061013221740722656,16.01900863647461,-13.415925025939941,-34.737213134765625,40.54026794433594,20.894872145985715,-0.018380403518676758,0.061013221740722656,0.06372167967569575
774,6,19,2.296712875366211,label_Hqql,label_Hqql,0.9999284744262695,-0.5838983058929443,-0.03857514634728432,-0.6916703581809998,-0.41231682896614075,1.271083116531372,0.0,0.0,1.0,0.0,0.0,0.0,0.441936731338501,-0.2697749137878418,1.2278621196746826,-2.0353658199310303,-6.576475143432617,6.9928812980651855,2.3770484651928157,0.441936731338501,-0.2697749137878418,0.517770778062451
774,7,2,2.284032106399536,label_Hqql,label_Hqql,0.9999284744262695,1.2502076625823975,1.5208395719528198,1.1424356698989868,1.1470978260040283,-0.3568626046180725,0.0,0.0,0.0,1.0,0.0,0.0,0.009391069412231445,0.11038559675216675,26.039478302001953,-19.705904006958008,-56.06943130493164,64.88573455810547,32.65542960936013,0.009391069412231445,0.11038559675216675,0.11078434977485455
774,8,1,2.2385003566741943,label_Hqql,label_Hqql,0.9999284744262695,1.5157444477081299,1.8251395225524902,1.4079723358154297,1.4513976573944092,-0.1288493275642395,1.0,1.0,0.0,0.0,0.0,0.0,0.07290339469909668,-0.15112179517745972,29.31324005126953,-37.65536117553711,-88.1267318725586,100.21742248535156,47.719935745592736,0.07290339469909668,-0.15112179517745972,0.16778766920221033
774,9,17,2.1876630783081055,label_Hqql,label_Hqql,0.9999284744262695,-0.3301292061805725,-0.11539266258478165,-0.43790119886398315,-0.4891343414783478,-0.4263630509376526,0.0,0.0,1.0,0.0,0.0,0.0,-0.08437526226043701,0.04007619619369507,2.572162628173828,-2.247462749481201,-5.253268718719482,6.26609468460083,3.415715063655002,-0.08437526226043701,0.04007619619369507,0.09340924142114133
774,10,18,2.1504387855529785,label_Hqql,label_Hqql,0.9999284744262695,-0.39865240454673767,-0.1591535061597824,-0.5064244866371155,-0.532895028591156,-0.3814924657344818,0.0,0.0,0.0,1.0,0.0,0.0,-0.04248404502868652,0.09561324119567871,2.441828489303589,-1.9052786827087402,-5.005659103393555,5.886360168457031,3.0971944126836792,-0.04248404502868652,0.09561324119567871,0.10462688934467324
