head_id,layer,group_id,channels,gate_grad,gate_abs_grad,gate_positive_grad,patch_acc_drop,patch_acc,patch_delta_pred_logit,role,question,semantic_hint,confidence,next_test
L1_ch112:128,1,7,ch112:128,0.864366486668587,0.864366486668587,0.864366486668587,0.0,0.641796886920929,3.263317108154297,middle learned-neighborhood / route-composition head,Does this pseudo-head combine previous learned features into a class-separating particle-neighborhood answer?,"kinematic/energy, class-specific: label_Hbb, label_H4q, label_Hgg","MEDIUM causal, LOW/MEDIUM semantic",Test route-width/leading-particle composite: compact/wide/top-pT routes -> L1 ch112:128 -> class contrast.
L2_ch224:256,2,7,ch224:256,0.7840506955981257,0.7840506955981257,0.7840506955981257,0.0,0.694531261920929,4.763679027557373,late aggregation / class-evidence head,Does this pseudo-head aggregate higher-level particle-neighborhood evidence before the classifier?,"kinematic/energy, class-specific: label_Hbb, label_Wqq, label_Zqq","LOW causal, exploratory semantic",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L1_ch16:32,1,1,ch16:32,0.7804598432034254,0.7804598432034254,0.7804598432034254,0.0,0.49335938692092896,9.114623069763184,middle learned-neighborhood / route-composition head,Does this pseudo-head combine previous learned features into a class-separating particle-neighborhood answer?,"kinematic/energy, class-specific: label_Hbb, label_Hcc, label_Zqq","HIGH causal, MEDIUM semantic",Test route-width/leading-particle composite: compact/wide/top-pT routes -> L1 ch16:32 -> class contrast.
L0_ch40:48,0,5,ch40:48,0.7149652346968652,0.7149652346968652,0.7149652346968652,0.0,0.620312511920929,3.815220832824707,early feature/geometry/PID reader,Does this pseudo-head convert raw particle features and local geometry into first-stage message evidence?,"kinematic/energy, class-specific: label_Hqql, label_Zqq, label_Wqq","MEDIUM causal, LOW/MEDIUM semantic",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L0_ch8:16,0,1,ch8:16,0.42930935658514496,0.42930935658514496,0.42930935658514496,0.0,0.6226562857627869,1.6804306507110596,early feature/geometry/PID reader,Does this pseudo-head convert raw particle features and local geometry into first-stage message evidence?,"kinematic/energy, class-specific: label_Wqq, label_Hcc, label_Hbb","MEDIUM causal, LOW/MEDIUM semantic",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L0_ch48:56,0,6,ch48:56,0.38185383211821317,0.38185383211821317,0.38185383211821317,0.0,0.6214843988418579,1.3934763669967651,early feature/geometry/PID reader,Does this pseudo-head convert raw particle features and local geometry into first-stage message evidence?,"kinematic/energy, class-specific: label_H4q, label_Hcc, label_Hbb","MEDIUM causal, LOW/MEDIUM semantic",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L2_ch64:96,2,2,ch64:96,0.3300687320530415,0.3300687320530415,0.3300687320530415,0.0,0.7417969107627869,1.593994140625,late aggregation / class-evidence head,Does this pseudo-head aggregate higher-level particle-neighborhood evidence before the classifier?,"kinematic/energy, class-specific: label_QCD, label_Hbb, label_Hcc","LOW causal, exploratory semantic",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L2_ch128:160,2,4,ch128:160,0.32902632616460326,0.32902632616460326,0.32902632616460326,0.0,0.745312511920929,0.7800450921058655,late aggregation / class-evidence head,Does this pseudo-head aggregate higher-level particle-neighborhood evidence before the classifier?,"kinematic/energy, class-specific: label_Hqql, label_Tbl, label_Tbqq","LOW causal, exploratory semantic",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L2_ch0:32,2,0,ch0:32,0.2666051718872041,0.2666051718872041,0.2666051718872041,0.0,0.677734375,0.8878049254417419,late aggregation / class-evidence head,Does this pseudo-head aggregate higher-level particle-neighborhood evidence before the classifier?,"kinematic/energy, class-specific: label_H4q, label_Hgg, label_Tbl","LOW causal, exploratory semantic",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L0_ch0:8,0,0,ch0:8,-0.25814127661287783,0.25814127661287783,0.0,0.0,0.5972656607627869,0.8533021211624146,early feature/geometry/PID reader,Does this pseudo-head convert raw particle features and local geometry into first-stage message evidence?,"kinematic/energy, class-specific: label_Tbl, label_Hcc, label_Hbb","MEDIUM causal, LOW/MEDIUM semantic",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L1_ch80:96,1,5,ch80:96,-0.21569975540041927,0.21569975540041927,0.0,0.0,0.7417969107627869,0.37132447957992554,middle learned-neighborhood / route-composition head,Does this pseudo-head combine previous learned features into a class-separating particle-neighborhood answer?,"kinematic/energy, class-specific: label_Tbl, label_Hqql, label_H4q","LOW causal, exploratory semantic",Test route-width/leading-particle composite: compact/wide/top-pT routes -> L1 ch80:96 -> class contrast.
L0_ch24:32,0,3,ch24:32,0.21224922332912682,0.21224922332912682,0.21224922332912682,0.0,0.557812511920929,2.3406918048858643,early feature/geometry/PID reader,Does this pseudo-head convert raw particle features and local geometry into first-stage message evidence?,"kinematic/energy, class-specific: label_Hbb, label_Hcc, label_Hgg","MEDIUM causal, LOW/MEDIUM semantic",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L1_ch64:80,1,4,ch64:80,-0.1892568865790963,0.1892568865790963,0.0,0.0,0.7378906607627869,0.15136319398880005,middle learned-neighborhood / route-composition head,Does this pseudo-head combine previous learned features into a class-separating particle-neighborhood answer?,"kinematic/energy, class-specific: label_H4q, label_Hgg, label_Hcc","LOW causal, exploratory semantic",Test route-width/leading-particle composite: compact/wide/top-pT routes -> L1 ch64:80 -> class contrast.
L1_ch32:48,1,2,ch32:48,0.18014977686107164,0.18014977686107164,0.18014977686107164,0.0,0.708984375,0.4805828630924225,middle learned-neighborhood / route-composition head,Does this pseudo-head combine previous learned features into a class-separating particle-neighborhood answer?,"kinematic/energy, class-specific: label_Tbl, label_Hqql, label_Tbqq","LOW causal, exploratory semantic",Test route-width/leading-particle composite: compact/wide/top-pT routes -> L1 ch32:48 -> class contrast.
L1_ch48:64,1,3,ch48:64,0.14620378632098438,0.14620378632098438,0.14620378632098438,0.0,0.7359375357627869,0.40318959951400757,middle learned-neighborhood / route-composition head,Does this pseudo-head combine previous learned features into a class-separating particle-neighborhood answer?,"kinematic/energy, class-specific: label_Tbqq, label_Hgg, label_H4q","LOW causal, exploratory semantic",Test route-width/leading-particle composite: compact/wide/top-pT routes -> L1 ch48:64 -> class contrast.
L0_ch32:40,0,4,ch32:40,0.14315899778157473,0.14315899778157473,0.14315899778157473,0.0,0.7152343988418579,0.49115297198295593,early feature/geometry/PID reader,Does this pseudo-head convert raw particle features and local geometry into first-stage message evidence?,"kinematic/energy, class-specific: label_Wqq, label_Hcc, label_Zqq","LOW causal, exploratory semantic",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L2_ch32:64,2,1,ch32:64,-0.11860228758305309,0.11860228758305309,0.0,0.0,0.741406261920929,0.18829059600830078,late aggregation / class-evidence head,Does this pseudo-head aggregate higher-level particle-neighborhood evidence before the classifier?,"kinematic/energy, class-specific: label_Tbl, label_Hcc, label_H4q","LOW causal, exploratory semantic",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L0_ch16:24,0,2,ch16:24,0.10376852862536906,0.10376852862536906,0.10376852862536906,0.0,0.629687488079071,1.0691368579864502,early feature/geometry/PID reader,Does this pseudo-head convert raw particle features and local geometry into first-stage message evidence?,"kinematic/energy, class-specific: label_Tbqq, label_Hgg, label_Zqq","MEDIUM causal, LOW/MEDIUM semantic",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L2_ch96:128,2,3,ch96:128,-0.0867303917184472,0.0867303917184472,0.0,0.0,0.758593738079071,0.1720312237739563,late aggregation / class-evidence head,Does this pseudo-head aggregate higher-level particle-neighborhood evidence before the classifier?,"kinematic/energy, class-specific: label_QCD, label_H4q, label_Hgg","LOW causal, exploratory semantic",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L2_ch160:192,2,5,ch160:192,-0.07816624930128455,0.07816624930128455,0.0,0.0,0.750781238079071,0.42138180136680603,late aggregation / class-evidence head,Does this pseudo-head aggregate higher-level particle-neighborhood evidence before the classifier?,"kinematic/energy, class-specific: label_Hqql, label_Tbl, label_Hcc","LOW causal, exploratory semantic",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L2_ch192:224,2,6,ch192:224,0.033101520640775574,0.033101520640775574,0.033101520640775574,0.0,0.748828113079071,0.3157835006713867,late aggregation / class-evidence head,Does this pseudo-head aggregate higher-level particle-neighborhood evidence before the classifier?,"kinematic/energy, class-specific: label_Tbqq, label_Wqq, label_Zqq","LOW causal, exploratory semantic",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L1_ch0:16,1,0,ch0:16,-0.027025808393955228,0.027025808393955228,0.0,0.0,0.7339844107627869,0.2483496069908142,middle learned-neighborhood / route-composition head,Does this pseudo-head combine previous learned features into a class-separating particle-neighborhood answer?,"kinematic/energy, class-specific: label_Hqql, label_Zqq, label_Wqq","LOW causal, exploratory semantic",Test route-width/leading-particle composite: compact/wide/top-pT routes -> L1 ch0:16 -> class contrast.
L0_ch56:64,0,7,ch56:64,-0.020683970302343372,0.020683970302343372,0.0,0.0,0.6722656488418579,0.610243558883667,early feature/geometry/PID reader,Does this pseudo-head convert raw particle features and local geometry into first-stage message evidence?,"kinematic/energy, class-specific: label_Hqql, label_H4q, label_Hgg","MEDIUM causal, LOW/MEDIUM semantic",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L1_ch96:112,1,6,ch96:112,-0.00663501238450406,0.00663501238450406,0.0,0.0,0.6839843988418579,0.8114314079284668,middle learned-neighborhood / route-composition head,Does this pseudo-head combine previous learned features into a class-separating particle-neighborhood answer?,"kinematic/energy, class-specific: label_H4q, label_Hgg, label_Hqql","LOW causal, exploratory semantic",Test route-width/leading-particle composite: compact/wide/top-pT routes -> L1 ch96:112 -> class contrast.
