run_index,source_path,generated_at_utc,run_id,head_rank,head_id,layer,channels,gate_grad,gate_abs_grad,patch_acc_drop,role,semantic_hint,delta_gate_abs_grad,delta_rank
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,run:all_head_supertrace:v1:latest,1,L1_ch112:128,1,ch112:128,0.8005718103609979,0.8005718103609979,0.0,middle learned-neighborhood / route-composition head,"kinematic/energy, class-specific: label_Hbb, label_H4q, label_Hgg",,
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,run:all_head_supertrace:v1:latest,2,L0_ch40:48,0,ch40:48,0.6734583724290131,0.6734583724290131,0.0,early feature/geometry/PID reader,"kinematic/energy, class-specific: label_Hqql, label_Zqq, label_Wqq",,
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,run:all_head_supertrace:v1:latest,3,L2_ch224:256,2,ch224:256,0.6716344718355686,0.6716344718355686,0.0,late aggregation / class-evidence head,"kinematic/energy, class-specific: label_Hbb, label_Wqq, label_Zqq",,
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,run:all_head_supertrace:v1:latest,4,L1_ch16:32,1,ch16:32,0.6645292914472519,0.6645292914472519,0.0,middle learned-neighborhood / route-composition head,"kinematic/energy, class-specific: label_Hbb, label_Hcc, label_Zqq",,
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,run:all_head_supertrace:v1:latest,5,L0_ch48:56,0,ch48:56,0.3620088746538386,0.3620088746538386,0.0,early feature/geometry/PID reader,"kinematic/energy, class-specific: label_H4q, label_Hcc, label_Hbb",,
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,run:all_head_supertrace:v1:latest,6,L2_ch128:160,2,ch128:160,0.35113537810975676,0.35113537810975676,0.0,late aggregation / class-evidence head,"kinematic/energy, class-specific: label_Hqql, label_Tbl, label_Tbqq",,
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,run:all_head_supertrace:v1:latest,7,L0_ch8:16,0,ch8:16,0.3350130717270077,0.3350130717270077,0.0,early feature/geometry/PID reader,"kinematic/energy, class-specific: label_Wqq, label_Hcc, label_Hbb",,
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,run:all_head_supertrace:v1:latest,8,L2_ch64:96,2,ch64:96,0.2969715459272265,0.2969715459272265,0.0,late aggregation / class-evidence head,"kinematic/energy, class-specific: label_QCD, label_Hbb, label_Hcc",,
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,run:all_head_supertrace:v1:latest,9,L2_ch0:32,2,ch0:32,0.26421213281573724,0.26421213281573724,0.0,late aggregation / class-evidence head,"kinematic/energy, class-specific: label_H4q, label_Hgg, label_Tbl",,
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,run:all_head_supertrace:v1:latest,10,L0_ch0:8,0,ch0:8,-0.23265956228133292,0.23265956228133292,0.0,early feature/geometry/PID reader,"kinematic/energy, class-specific: label_Tbl, label_Hcc, label_Hbb",,
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,run:all_head_supertrace:v1:latest,11,L0_ch24:32,0,ch24:32,0.19300828850828114,0.19300828850828114,0.0,early feature/geometry/PID reader,"kinematic/energy, class-specific: label_Hbb, label_Hcc, label_Hgg",,
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,run:all_head_supertrace:v1:latest,12,L1_ch32:48,1,ch32:48,0.18464690914843226,0.18464690914843226,0.0,middle learned-neighborhood / route-composition head,"kinematic/energy, class-specific: label_Tbl, label_Hqql, label_Tbqq",,
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,run:all_head_supertrace:v1:latest,13,L1_ch64:80,1,ch64:80,-0.1722523553995416,0.1722523553995416,0.0,middle learned-neighborhood / route-composition head,"kinematic/energy, class-specific: label_H4q, label_Hgg, label_Hcc",,
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,run:all_head_supertrace:v1:latest,14,L1_ch80:96,1,ch80:96,-0.16934443782083686,0.16934443782083686,0.0,middle learned-neighborhood / route-composition head,"kinematic/energy, class-specific: label_Tbl, label_Hqql, label_H4q",,
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,run:all_head_supertrace:v1:latest,15,L1_ch48:64,1,ch48:64,0.12998252359684553,0.12998252359684553,0.0,middle learned-neighborhood / route-composition head,"kinematic/energy, class-specific: label_Tbqq, label_Hgg, label_H4q",,
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,run:all_head_supertrace:v1:latest,16,L0_ch32:40,0,ch32:40,0.11387336922925896,0.11387336922925896,0.0,early feature/geometry/PID reader,"kinematic/energy, class-specific: label_Wqq, label_Hcc, label_Zqq",,
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,run:all_head_supertrace:v1:latest,17,L2_ch32:64,2,ch32:64,-0.10588864014716826,0.10588864014716826,0.0,late aggregation / class-evidence head,"kinematic/energy, class-specific: label_Tbl, label_Hcc, label_H4q",,
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,run:all_head_supertrace:v1:latest,18,L2_ch96:128,2,ch96:128,-0.06340889002894981,0.06340889002894981,0.0,late aggregation / class-evidence head,"kinematic/energy, class-specific: label_QCD, label_H4q, label_Hgg",,
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,run:all_head_supertrace:v1:latest,19,L0_ch16:24,0,ch16:24,0.0610171883367002,0.0610171883367002,0.0,early feature/geometry/PID reader,"kinematic/energy, class-specific: label_Tbqq, label_Hgg, label_Zqq",,
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,run:all_head_supertrace:v1:latest,20,L2_ch192:224,2,ch192:224,0.04265837218845264,0.04265837218845264,0.0,late aggregation / class-evidence head,"kinematic/energy, class-specific: label_Tbqq, label_Wqq, label_Zqq",,
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,run:all_head_supertrace:v1:latest,21,L1_ch0:16,1,ch0:16,-0.03685495215468107,0.03685495215468107,0.0,middle learned-neighborhood / route-composition head,"kinematic/energy, class-specific: label_Hqql, label_Zqq, label_Wqq",,
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,run:all_head_supertrace:v1:latest,22,L2_ch160:192,2,ch160:192,-0.033821698091924195,0.033821698091924195,0.0,late aggregation / class-evidence head,"kinematic/energy, class-specific: label_Hqql, label_Tbl, label_Hcc",,
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,run:all_head_supertrace:v1:latest,23,L1_ch96:112,1,ch96:112,-0.00589493813458829,0.00589493813458829,0.0,middle learned-neighborhood / route-composition head,"kinematic/energy, class-specific: label_H4q, label_Hgg, label_Hqql",,
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,run:all_head_supertrace:v1:latest,24,L0_ch56:64,0,ch56:64,-0.004626238928176459,0.004626238928176459,0.0,early feature/geometry/PID reader,"kinematic/energy, class-specific: label_Hqql, label_H4q, label_Hgg",,
1,manifests/history/research_evidence_graph_20260616_041017.json,2026-06-16T04:10:17.558878+00:00,run:all_head_supertrace:v1:latest,1,L1_ch112:128,1,ch112:128,0.8005718103609979,0.8005718103609979,0.0,middle learned-neighborhood / route-composition head,"kinematic/energy, class-specific: label_Hbb, label_H4q, label_Hgg",0.0,0
1,manifests/history/research_evidence_graph_20260616_041017.json,2026-06-16T04:10:17.558878+00:00,run:all_head_supertrace:v1:latest,2,L0_ch40:48,0,ch40:48,0.6734583724290131,0.6734583724290131,0.0,early feature/geometry/PID reader,"kinematic/energy, class-specific: label_Hqql, label_Zqq, label_Wqq",0.0,0
1,manifests/history/research_evidence_graph_20260616_041017.json,2026-06-16T04:10:17.558878+00:00,run:all_head_supertrace:v1:latest,3,L2_ch224:256,2,ch224:256,0.6716344718355686,0.6716344718355686,0.0,late aggregation / class-evidence head,"kinematic/energy, class-specific: label_Hbb, label_Wqq, label_Zqq",0.0,0
